czone,msa,score,rank,housing_share,hh_income,amenity_income_price,amenity_value
12901,"Frankfort, KY Micropolitan Statistical Area",0.123552299,39,0.232750235,95621.24086,0.028756827,2749.76
12901,"Lexington-Fayette, KY Metropolitan Statistical Area",0.123552299,39,0.232750235,95621.24086,0.028756827,2749.76
35100,"Nogales, AZ Micropolitan Statistical Area",0.121251398,40,0.223730332,88713.86577,0.027127615,2406.6
35100,"Sierra Vista-Douglas, AZ Micropolitan Statistical Area",0.121251398,40,0.223730332,88713.86577,0.027127615,2406.6
35100,"Tucson, AZ Metropolitan Statistical Area",0.121251398,40,0.223730332,88713.86577,0.027127615,2406.6
10900,"Fort Walton Beach-Crestview-Destin, FL Metropolitan Statistical Area",0.120079894,41,0.227987333,94031.26126,0.027376695,2574.27
10900,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",0.120079894,41,0.227987333,94031.26126,0.027376695,2574.27
35001,"Payson, AZ Micropolitan Statistical Area",0.116234159,42,0.230594602,106013.5612,0.02680297,2841.48
35001,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",0.116234159,42,0.230594602,106013.5612,0.02680297,2841.48
37400,"Gardnerville Ranchos, NV Micropolitan Statistical Area",0.116156383,43,0.256328489,118801.2691,0.02977419,3537.21
37400,"Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",0.116156383,43,0.256328489,118801.2691,0.02977419,3537.21
37400,"Stockton, CA Metropolitan Statistical Area",0.116156383,43,0.256328489,118801.2691,0.02977419,3537.21
37400,"Truckee-Grass Valley, CA Micropolitan Statistical Area",0.116156383,43,0.256328489,118801.2691,0.02977419,3537.21
34901,"Albuquerque, NM Metropolitan Statistical Area",0.115456101,44,0.192513475,105037.6351,0.022226855,2334.66
34901,"Grants, NM Micropolitan Statistical Area",0.115456101,44,0.192513475,105037.6351,0.022226855,2334.66
38100,"El Centro, CA Metropolitan Statistical Area",0.111761168,45,0.226789487,72962.51515,0.025346258,1849.33
38100,"Yuma, AZ Metropolitan Statistical Area",0.111761168,45,0.226789487,72962.51515,0.025346258,1849.33
36100,"Ogden-Clearfield, UT Metropolitan Statistical Area",0.098433492,46,0.224305518,110639.4103,0.022079175,2442.83
36100,"Salt Lake City, UT Metropolitan Statistical Area",0.098433492,46,0.224305518,110639.4103,0.022079175,2442.83
36600,"Red Bluff, CA Micropolitan Statistical Area",0.097005344,47,0.238792603,100949.0228,0.023164159,2338.4
36600,"Redding, CA Metropolitan Statistical Area",0.097005344,47,0.238792603,100949.0228,0.023164159,2338.4
14600,"Bedford, IN Micropolitan Statistical Area",0.095444889,48,0.241993376,89873.08524,0.023097031,2075.8
